municipio,frecuencia
"('tecomán', 'NONE')",9
"('tecomán', '2023')",3
"('villa de álvarez', '2023')",8
"('tecomán', '2020')",7
"('villagrán', '2018')",23
"('NONE', '2015')",2
"('salamanca', '2022')",1
"('salvatierra', '2018')",10
"('guanajuato', 'NONE')",2
"('victoria', '2023')",14
"('león', '2021')",2
"('eduardo neri', '2023')",2
"('NONE', 'NONE')",3
"('leonardo bravo', 'NONE')",6
"('cocula', '2023')",2
"('NONE', '2018')",8
"('NONE', '2022')",4
"('el salto', '2020')",4
"('zapopan', '2022')",5
"('tonalá', '2017')",6
"('zapopan', '2018')",1
"('ziracuaretiro', '2020')",15
"('tarímbaro', 'NONE')",3
"('tarímbaro', '2021')",9
"('zitácuaro', '2014')",12
"('zitácuaro', '2023')",3
"('uruapan', '2022')",1
"('sinaloa', '2014')",38
"('navolato', '2014')",18
"('sinaloa', '2022')",8
"('navolato', '2018')",4
"('san luis río colorado', '2021')",2
"('hermosillo', '2020')",4
"('santa ana', '2019')",11
"('san luis río colorado', '2015')",19
"('san luis río colorado', 'NONE')",4
